S.NO,EMP ID,Employee Name,EmailId,Father's Name,Department,Designation,Pay Days,Present Days,BASIC,HRA,CONVEYANCE,CCA,OTHER EARN,PH.LIS.AMT,R F PHEC,NS ALLOW,SPL ALLOW,EXTRA DUTY,ARREARS,Total Earning,PF,ESI,PT,TDS,MOBILE DED,PEHC DED,OTHER DED,Total Dedn,Net Amount
1,116,Neha Joshi,NehaJoshi@gmail.com,,Aarogyasri,Executive,20,20,"2,240.00",896,533,811,0,0,0,0,0,0,0,"4,480.00",269,78.4,0,0,268,0,0,615.4,"3,865.00"
2,199,Ashok Pandey,AshokPandey@gmail.com,,Aarogyasri,Executive,30,30,"3,450.00","1,380.00",800,"1,270.00",0,0,0,0,"5,000.00",0,0,"11,900.00",414,120.75,80,0,583,0,0,"1,197.75","10,702.00"
3,383,Sanjay Banerjee,SanjayBanerjee@gmail.com,D Kistaiah,Aarogyasri,Assistant,30,30,"4,000.00","1,600.00",800,"1,600.00",0,0,0,0,0,0,0,"8,000.00",480,140,80,0,0,0,0,700,"7,300.00"
4,400,Amit Roy,AmitRoy@gmail.com,LAXMAIAH,Aarogyasri,Executive,29,29,"5,280.00","2,112.00",773,"2,395.00",0,0,0,0,0,0,0,"10,560.00",634,184.8,100,0,0,0,0,918.8,"9,641.00"
5,535,Ashok Reddy,AshokReddy@gmail.com,KRISHNA MURTHY B,Aarogyasri,Executive,29,29,"7,250.00","2,900.00",773,"3,577.00",0,0,0,0,0,0,0,"14,500.00",754,253.75,100,0,0,0,0,"1,107.75","13,392.00"
6,542,Maya Sen,MayaSen@gmail.com,TIRUPATHI REDDY A,Aarogyasri,Executive,30,30,"6,000.00","2,400.00",800,"2,800.00",0,0,0,0,0,0,0,"12,000.00",720,210,100,0,0,0,0,"1,030.00","10,970.00"
7,543,Nitin Pandey,NitinPandey@gmail.com,P RAVINDER,Aarogyasri,Executive,27,27,"5,400.00","2,160.00",720,"2,520.00",0,0,0,0,0,0,0,"10,800.00",648,189,100,0,0,0,0,937,"9,863.00"
8,566,Arun Bhat,ArunBhat@gmail.com,KOMARAIAH,Aarogyasri,Executive,30,30,"3,500.00","1,400.00",800,"1,300.00",0,0,0,0,0,0,0,"7,000.00",420,122.5,80,0,0,0,0,622.5,"6,378.00"
9,11,Harsha Banerjee,HarshaBanerjee@gmail.com,,Administration,Sr. Exe. - Liaision & PR,30,30,"11,903.00","4,761.00",800,"6,342.00",0,0,0,0,0,0,0,"23,806.00",780,0,200,0,0,0,0,980,"22,826.00"
10,351,Reshma Patil,ReshmaPatil@gmail.com,,Administration,Sr. Executive - Quality,30,30,"11,200.00","4,480.00",800,"5,920.00",0,0,0,0,0,0,0,"22,400.00",780,0,200,0,302,0,0,"1,282.00","21,118.00"
11,595,Varun Dey,VarunDey@gmail.com,SURENDRA KUMAR PD SINGH,Administration,Executive,30,30,"7,500.00","3,000.00",800,"3,700.00",0,0,0,0,0,0,0,"15,000.00",780,262.5,100,0,0,0,0,"1,142.50","13,858.00"
12,666,Amit Kaul,AmitKaul@gmail.com,Dr.N.Soma Raju,Administration,GM - Operations & HR,30,30,"75,000.00","30,000.00",800,"44,200.00",0,0,0,0,0,0,0,"1,50,000.00",780,0,200,"25,000.00",0,0,0,"25,980.00","1,24,020.00"
13,674,Karthik Nair,KarthikNair@gmail.com,Sankaraiah,Anaesthesia,Technician,30,30,"5,000.00","2,000.00",800,"2,200.00",0,0,0,0,0,333,0,"10,333.00",600,180.85,80,0,0,275,0,"1,135.85","9,197.00"
14,137,Ritu Malhotra,RituMalhotra@gmail.com,,Billing,Assistant,30,30,"4,750.00","1,900.00",800,"2,050.00",0,0,0,0,0,0,0,"9,500.00",570,166.25,80,0,0,0,0,816.25,"8,684.00"
